"","habitat.diff","habitat.lwr","habitat.upr","habitat.p.adj"
"Cutblock- ",1.86538461538469,-2.26325706644662,5.99402629721601,0.913267815761705
"Forest_Conifer- ",1.52272727272735,-3.21812830491695,6.26358285037165,0.990599463823027
"Forest_Decidous- ",2.1785714285715,-2.42483874547083,6.78198160261383,0.887734874646357
"Forest_Mixedwood- ",1.66176470588243,-2.85047980384394,6.1740092156088,0.975667672521495
"Industrial- ",1.06481481481489,-3.28535693100873,5.4149865606385,0.998803306773555
"Meadow_Grassland- ",1.42142857142865,-2.86411307458837,5.70697021744566,0.988174318500511
"Meadow_Riparian- ",2.45000000000008,-1.78642206772811,6.68642206772826,0.706356999147289
"Meadow_Shrub- ",1.96428571428579,-2.46534779100354,6.39391921957513,0.922112749297641
"Roadside- ",1.25000000000007,-4.19682837279331,6.69682837279346,0.999284740132426
"Forest_Conifer-Cutblock",-0.342657342657345,-2.90332458379791,2.21800989848322,0.999992327525445
"Forest_Decidous-Cutblock",0.313186813186809,-1.98304713444261,2.60942076081623,0.999990950086771
"Forest_Mixedwood-Cutblock",-0.203619909502265,-2.31114348643448,1.90390366742995,0.999999556807337
"Industrial-Cutblock",-0.800569800569803,-2.5341497179464,0.933010116806794,0.901893494003534
"Meadow_Grassland-Cutblock",-0.443956043956046,-2.00830009547272,1.12038800756063,0.996233723172294
"Meadow_Riparian-Cutblock",0.584615384615383,-0.839665854362272,2.00889662359304,0.951025527215635
"Meadow_Shrub-Cutblock",0.0989010989010994,-1.82540607588967,2.02320827369187,0.999999998390039
"Roadside-Cutblock",-0.615384615384619,-4.32338197709301,3.09261274632377,0.999951292715656
"Forest_Decidous-Forest_Conifer",0.655844155844155,-2.61565700010428,3.92734531179259,0.999762611508946
"Forest_Mixedwood-Forest_Conifer",0.13903743315508,-3.00288635625346,3.28096122256362,0.999999999578598
"Industrial-Forest_Conifer",-0.457912457912458,-3.3622762094177,2.44645129359278,0.999968529144217
"Meadow_Grassland-Forest_Conifer",-0.101298701298701,-2.90793401473751,2.7053366121401,0.999999999932341
"Meadow_Riparian-Forest_Conifer",0.927272727272729,-1.80377222271068,3.65831767725613,0.986055252109449
"Meadow_Shrub-Forest_Conifer",0.441558441558445,-2.58052487530715,3.46364175842404,0.999983609059243
"Roadside-Forest_Conifer",-0.272727272727273,-4.65214206303459,4.10668751758005,0.999999991041505
"Forest_Mixedwood-Forest_Decidous",-0.516806722689075,-3.44722626958789,2.41361282420974,0.999918560137532
"Industrial-Forest_Decidous",-1.11375661375661,-3.78789244116945,1.56037921365623,0.946420559102841
"Meadow_Grassland-Forest_Decidous",-0.757142857142855,-3.32480237605051,1.8105166617648,0.994977501699665
"Meadow_Riparian-Forest_Decidous",0.271428571428574,-2.21338130886916,2.75623845172631,0.999998694256807
"Meadow_Shrub-Forest_Decidous",-0.21428571428571,-3.01583192958767,2.58726050101625,0.999999944059675
"Roadside-Forest_Decidous",-0.928571428571428,-5.15881344622927,3.30167058908641,0.999500752581169
"Industrial-Forest_Mixedwood",-0.596949891067537,-3.11090448662656,1.91700470449148,0.999059940423313
"Meadow_Grassland-Forest_Mixedwood",-0.240336134453781,-2.64071958092988,2.16004731202232,0.999999392985693
"Meadow_Riparian-Forest_Mixedwood",0.788235294117649,-1.52331081753675,3.09978140577205,0.985627696733429
"Meadow_Shrub-Forest_Mixedwood",0.302521008403365,-2.34655930022303,2.95160131702976,0.99999807231789
"Roadside-Forest_Mixedwood",-0.411764705882353,-4.54261362747671,3.719084215712,0.999999416283616
"Meadow_Grassland-Industrial",0.356613756613757,-1.72316613383686,2.43639364706437,0.999935775749267
"Meadow_Riparian-Industrial",1.38518518518519,-0.591400034053003,3.36177040442338,0.435494145760589
"Meadow_Shrub-Industrial",0.899470899470902,-1.46300030335008,3.26194210229188,0.969677252126172
"Roadside-Industrial",0.185185185185184,-3.76798525329119,4.13835562366156,0.999999999298139
"Meadow_Riparian-Meadow_Grassland",1.02857142857143,-0.801390896312621,2.85853375345548,0.739600793209139
"Meadow_Shrub-Meadow_Grassland",0.542857142857145,-1.69837982938442,2.78409411509872,0.998899101426712
"Roadside-Meadow_Grassland",-0.171428571428573,-4.05336487915281,3.71050773629567,0.999999999586364
"Meadow_Shrub-Meadow_Riparian",-0.485714285714284,-2.6315353178441,1.66010674641553,0.999359831789947
"Roadside-Meadow_Riparian",-1.2,-5.02764081823462,2.62764081823462,0.992110452180317
"Roadside-Meadow_Shrub",-0.714285714285718,-4.75473312622704,3.3261616976556,0.999916893705595
